alas ylös
alku loppu
antaa ottaa
auki kiinni
ei kyllä
elämä kuolema
ennen jälkeen
epätosi tosi
heikko vahva
helppo vaikea
hidas nopea
huono hyvä
hyvä huono
hävitä voittaa
iso pieni
jälkeen ennen
kaukana lähellä
kiinni auki
korkea matala
kuolema elämä
kyllä ei
kylmä lämmin
loppu alku
lyhyt pitkä
lähellä kaukana
lämmin kylmä
mahdollinen mahdoton
mahdoton mahdollinen
matala korkea
myydä ostaa
nopea hidas
ostaa myydä
ottaa antaa
paljon vähän
pieni iso
pimeä valoisa
pitkä lyhyt
päivä yö
rakastaa vihata
sisään ulos
tosi epätosi
tyhjä täysi
täysi tyhjä
ulos sisään
uusi vanha
vahva heikko
vaikea helppo
valoisa pimeä
vanha uusi
vihata rakastaa
voittaa hävitä
vähän paljon
ylös alas
yö päivä
