אור חושך
אחרי לפני
אמת שקר
אפשרי בלתי אפשרי
בחוץ בתוך
בלתי אפשרי אפשרי
בתוך בחוץ
גבוה נמוך
גדול קטן
התחלה סוף
חדש ישן
חושך אור
חזק חלש
חיים מוות
חלש חזק
חם קר
טוב רע
יום לילה
ישן חדש
כן לא
לא כן
לאהוב לשנוא
לאט מהר
להפסיד לנצח
לילה יום
למטה למעלה
למכור לקנות
למעלה למטה
לנצח להפסיד
לפני אחרי
לקחת לתת
לקנות למכור
לשנוא לאהוב
לתת לקחת
מאוחר מוקדם
מהר לאט
מוות חיים
מוקדם מאוחר
מלא ריק
מלוכלך נקי
נכון שגוי
נמוך גבוה
נקי מלוכלך
סגור פתוח
סוף התחלה
עני עשיר
עצוב שמח
עשיר עני
פתוח סגור
קטן גדול
קל קשה
קר חם
קרוב רחוק
קשה קל
רחוק קרוב
ריק מלא
רע טוב
שגוי נכון
שמח עצוב
שקר אמת
