# Words of like meaning, one group per line.
# Uzbek written in CYRILLIC, deliberately against CLDR.
# CLDR's default for uz is the Latin alphabet and modern Uzbek is officially
# Latin, but pkg/kb ships exactly one Uzbek keyboard layout, kbduzb 'Uzbek
# Cyrillic'. SKILL.md step 0 says to take the script of the layouts that ship,
# so every uz file here is Cyrillic. Alphabet cross-checked against CLDR
# uz-Cyrl exemplarCharacters.
бошлаш старт ишга очиш
дўкон бозор савдо магазин
кириш логин киринг рухсат
ҳисоб профил аккаунт аъзо
фойдаланувчи юзер исм шахс
хавфсиз ҳимояланган ишончли текширилган
хавфсизлик ҳимоя муҳофаза қалқон
тасдиқлаш текшириш тасдиқланг назорат
парол махфийсўз пин калит
авторизация аутентификация токен сеанс
тиклаш ресет қайтариш блокдан
ёрдам кўмак хизмат мадад
алоқа боғланиш сўров мурожаат
тўлов пул тўланг касса
ҳисобварақ фактура квитанция чек
банк молия пул ҳамён
карта кредит дебет тўловкарта
ўтказма транзакция депозит ечиш
крипто танга блокчейн майнинг
почта email хабар киримқутиси
булут сервер хост хостинг
веб сайт онлайн тармоқ портал
домен ҳавола манзил url
янгилик блог матбуот медиа
бепул совға бонус акция
чегирма таклиф сотув купон
соврин ютуқ мукофот лотерея
зўр топ премиум про
расмий ҳақиқий асл оригинал
янги сўнгги янгича замонавий
тез шошилинч экспресс тезкор
илова дастур софт восита
юклаш олиш ўрнатиш созлаш
янгилаш апгрейд узайтириш патч
қидирув топиш излаш сўров
етказиш жўнатма посилка кузатув
буюртма сават харид олиш
мижоз харидор обуначи клиент
админ бошқарув консол панел
марказ асосий бош ҳаб
гуруҳ жамоа компания корпорация
маълумот заҳира архив омбор
сурат расм галерея фото
видео стрим кўриш плеер
мусиқа аудио товуш радио
ўйин ўйинлар ўйинчи аркада
чат суҳбат мессенжер жонли
ижтимоий жамоат дўстлар лента
иш вакансия карьера бандлик
соғлиқ тиббиёт клиника дорихона
саёҳат рейс меҳмонхона брон
таом ресторан меню ошхона
мактаб ўқиш курс таълим
қонун ҳуқуқий суд ҳуқуқлар
ҳукумат давлат вазирлик оммавий
солиқ божхона йиғим тўлов
суғурта полис даъво қоплама
кўчмас ижара уй мулк
авто машина мотор транспорт
энергия қувват электр газ
мобил телефон смс қўнғироқ
огоҳлантириш диққат хабарнома шошилинч
обуна аъзолик тариф узайтириш
балл содиқлик кэшбэк мил
шарҳ рейтинг баҳо фикр
