# A word and its opposite, one pair per line.
adevăr minciună
afară înăuntru
aproape departe
bogat sărac
bun rău
cald rece
cumpără vinde
câștigă pierde
da nu
departe aproape
deschis închis
devreme târziu
după înainte
gol plin
greu ușor
ieșire intrare
intrare ieșire
iubește urăște
jos sus
lent rapid
luminos întunecat
mare mic
mic mare
minciună adevăr
noapte zi
nou vechi
nu da
pierde câștigă
plin gol
puternic slab
rapid lent
rece cald
rău bun
scăzut înalt
sfârșit început
slab puternic
sus jos
sărac bogat
târziu devreme
urăște iubește
ușor greu
vechi nou
vinde cumpără
zi noapte
înainte după
înalt scăzut
început sfârșit
închis deschis
întunecat luminos
înăuntru afară
