aberto fechado
alto baixo
amar odiar
antes depois
baixo alto
bom mau
cedo tarde
cheio vazio
cima baixo
claro escuro
comecar terminar
começar terminar
comprar vender
dar tomar
dentro fora
depois antes
dia noite
difícil fácil facil
escuro claro
facil difícil
falso verdadeiro
fechado aberto
fora dentro
forte fraco
fraco forte
frio quente
fácil difícil
ganhar perder
grande pequeno
lento rápido rapido
longe perto
mau bom
nao sim
noite dia
novo velho
não sim
odiar amar
pequeno grande
perder ganhar
perto longe
pobre rico
quente frio
rapido lento
rico pobre
rápido lento
sim não nao
tarde cedo
terminar começar comecar
tomar dar
vazio cheio
velho novo
vender comprar
verdadeiro falso
