# A word and its opposite, one pair per line.
alacsony magas
belül kívül
bemenet kimenet
elad vásárol
előtt után
erős gyenge
fent lent
gazdag szegény
gyenge erős
gyors lassú
gyűlöl szeret
hazugság igazság
hideg meleg
igazság hazugság
igen nem
jó rossz
kezdet vég
kicsi nagy
kimenet bemenet
korán későn
későn korán
kívül belül
könnyű nehéz
közel távol
lassú gyors
lent fent
magas alacsony
meleg hideg
nagy kicsi
nappal éjszaka
nehéz könnyű
nem igen
nyer veszít
nyitott zárt
rossz jó
régi új
szegény gazdag
szeret gyűlöl
sötét világos
tele üres
távol közel
után előtt
veszít nyer
világos sötét
vásárol elad
vég kezdet
zárt nyitott
éjszaka nappal
új régi
üres tele
