almak satmak
alçak yüksek
aydınlık karanlık
açık kapalı
aşağı yukarı
başlangıç bitiş
bitiş başlangıç
boş dolu
büyük küçük
dolu boş
doğru yanlış
dış iç
erken geç
eski yeni
evet hayır
fakir zengin
gece gün
gerçek sahte
geç erken
gün gece
güçlü zayıf
hayır evet
hızlı yavaş
iyi kötü
iç dış
kapalı açık
karanlık aydınlık
kaybetmek kazanmak
kazanmak kaybetmek
kolay zor
kötü iyi
küçük büyük
nefretetmek sevmek
sahte gerçek
satmak almak
sevmek nefretetmek
sonra önce
soğuk sıcak
sıcak soğuk
uzak yakın
vermek almak
yakın uzak
yanlış doğru
yavaş hızlı
yaşam ölüm
yeni eski
yukarı aşağı
yüksek alçak
zayıf güçlü
zengin fakir
zor kolay
ölüm yaşam
önce sonra
