# Words habitually confused for each other, one group per line.
# Uzbek written in CYRILLIC — see the header on grapheme.lst for why.
# Pairs are 'wrong right'. The five productive error classes are the
# substitutions ў->у, қ->к, ғ->г and ҳ->х (the Cyrillic letters unique to
# Uzbek, routinely typed as their plain Russian look-alikes) and the
# dropped айирув белгиси ъ. Some are also drawn from
# uz.wikipedia Vikipediya:AutoWikiBrowser/Typos, transposed to Cyrillic.
# Latin transliterations of Uzbek place names lead the file.
uzbekiston ўзбекистон
uzbek ўзбек
ozbek ўзбек
toshkent тошкент
tashkent тошкент
samarqand самарқанд
buxoro бухоро
xiva хива
namangan наманган
andijon андижон
fargona фарғона
navoiy навоий
nukus нукус
qarshi қарши
termiz термиз
soʻm сўм
sum сўм
salom салом
rahmat раҳмат
суз сўз
куп кўп
кул кўл
куз кўз
кур кўр
утмиш ўтмиш
уйин ўйин
урганиш ўрганиш
узгариш ўзгариш
узгартириш ўзгартириш
укиш ўқиш
уртача ўртача
урта ўрта
утиш ўтиш
усиш ўсиш
унг ўнг
угил ўғил
угли ўғли
турт тўрт
туққиз тўққиз
тугри тўғри
тулов тўлов
тулаш тўлаш
тулиқ тўлиқ
туплам тўплам
туплаш тўплаш
туй тўй
тун тўн
буш бўш
булим бўлим
булиш бўлиш
бугот бўғот
куриш кўриш
курсатиш кўрсатиш
кучиш кўчиш
кучирма кўчирма
сунгги сўнгги
суров сўров
суралган сўралган
йук йўқ
ун ўн
уттиз ўттиз
туқсон тўқсон
уйнаш ўйнаш
узи ўзи
узим ўзим
узаро ўзаро
халк халқ
кишлок қишлоқ
киз қиз
кора қора
кул қўл
кабул қабул
каттик қаттиқ
кимат қиймат
киймат қиймат
бошкарув бошқарув
курилма қурилма
кидирув қидирув
кушимча қўшимча
чикиш чиқиш
ок оқ
йок йўқ
кайта қайта
кайд қайд
конун қонун
карор қарор
кисм қисм
кулай қулай
кискача қисқача
такдим тақдим
максад мақсад
шарк шарқ
гарб ғарб
факат фақат
бошлик бошлиқ
ярок яроқ
муваффакият муваффақият
уйку уйқу
чукур чуқур
курик кўрик
тог тоғ
бог боғ
ёг ёғ
огир оғир
сог соғ
маглубият мағлубият
боглаш боғлаш
богланиш боғланиш
рагбат рағбат
галаба ғалаба
гоя ғоя
газна ғазна
ёгду ёғду
тугилган туғилган
угит ўғит
сугориш суғориш
йигилиш йиғилиш
йигиш йиғиш
согликни соғлиқни
егилиш эгилиш
хаво ҳаво
хамма ҳамма
хисоб ҳисоб
хужжат ҳужжат
шахар шаҳар
мухим муҳим
хафта ҳафта
хакида ҳақида
хақида ҳақида
хукумат ҳукумат
хуқуқ ҳуқуқ
хаёт ҳаёт
хар ҳар
хозир ҳозир
хеч ҳеч
худуд ҳудуд
хамкор ҳамкор
мехнат меҳнат
рахмат раҳмат
тахрир таҳрир
махсулот маҳсулот
махалла маҳалла
хақиқий ҳақиқий
хисоблаш ҳисоблаш
хужум ҳужум
хаммаси ҳаммаси
хаж ҳаж
хол ҳол
хам ҳам
мухит муҳит
шубха шубҳа
мано маъно
талим таълим
санат санъат
малумот маълумот
элон эълон
шер шеър
азо аъзо
тамир таъмир
мамурият маъмурият
этибор эътибор
макул маъқул
тариф таъриф
тамин таъмин
масул масъул
табир таъбир
мужиза мўъжиза
пароль парол
компютер компьютер
адресс адрес
январь январ
февраль феврал
апрель апрел
июнь июн
июль июл
сентябрь сентябр
октябрь октябр
ноябрь ноябр
декабрь декабр
франтсия франция
атестация аттестация
эритроцит эритросит
продюссер продюсер
бухори бухорий
номозхон намозхон
номоз намоз
октабр октябр
мавзуида мавзусида
мавзуйида мавзусида
