# Words of like meaning, one group per line.
# Tatar in Cyrillic script (39 letters). pkg/kb ships kbdtat and kbdtt102, both Cyrillic; CLDR tt is Cyrillic. Zamanalif/Latin is deliberately not used here.
башлау старт башлангыч ачу
кибет базар маркет сатыпалу
керү логин кертү рөхсәт
аккаунт профиль кабинет хисап
кулланучы файдаланучы логин исем
куркынычсыз ышанычлы сакланган тикшерелгән
куркынычсызлык саклау саклык калкан
тикшерү раслау дөресләү контроль
серсүз пароль пин код
авторизация аутентификация токен сеанс
торгызу кайтару ачу яңадан
ярдәм булышу хезмәт киңәш
элемтә мөрәҗәгать тоташу сорау
түләү түләм касса түләмә
хисапфактура фактура квитанция чек
банк финанс акча янчык
карта кредит дебет алдантүләү
күчерү транзакция кертем чыгару
крипто тәңкә блокчейн майнинг
почта email хәбәр хат
болыт сервер хост хостинг
веб сайт онлайн челтәр портал
домен сылтама адрес url
яңалык блог матбугат медиа
бушлай бүләк бонус промо
ташлама сату тәкъдим купон
приз оту бүләк лотерея
иңяхшы топ премиум про
рәсми чын оригинал хакыйкый
яңа соңгы яңарган заманча
тиз ашыгыч экспресс җитез
кушымта программа софт корал
йөкләү алу урнаштыру көйләү
яңарту камилләштерү озайту патч
эзләү табу сорау запрос
җиткерү җибәрү посылка күзәтү
заказ кәрзин сатыпалу рәсмиләштерү
клиент алучы язылучы сатыпалучы
админ идарә консоль панель
үзәк төер төп гомуми
төркем команда компания корпорация
мәгълүмат күчермә архив саклагыч
фото рәсем галерея сурәт
видео стрим карау уйнату
музыка аудио тавыш радио
уен уеннар уенчы аркада
чат сөйләшү мессенджер турыдан
социаль челтәр җәмгыять дуслар
эш вакансия карьера хезмәт
сәламәтлек медицина клиника даруханә
сәяхәт рейс кунакханә броньлау
ашамлык ресторан меню аш
мәктәп уку курс белем
закон юридик суд хокук
хөкүмәт дәүләт министрлык дәүхезмәт
салым керем таможня пошлина
страховка полис дәгъва каплау
күчемсез аренда йорт милек
авто машина мотор транспорт
энергия куәт электр газ
мобиль телефон смс шалтырату
кисәтү сигнал белдерү ашыгыч
язылу әгъзалык тариф озайту
балл лояльлек кэшбэк миль
фикер рейтинг бәя караш
