ano ne
blízko daleko
bohatý chudý
brzy pozdě
chudý bohatý
daleko blízko
den noc
dobrý špatný
dole nahoře
dát vzít
horký studený
konec začátek
koupit prodat
lež pravda
malý velký
milovat nenávidět
nahoře dole
ne ano
nenávidět milovat
noc den
nový starý
nízký vysoký
otevřený zavřený
plný prázdný
po před
pomalý rychlý
pozdě brzy
pravda lež
prodat koupit
prohrát vyhrát
prázdný plný
před po
rychlý pomalý
silný slabý
slabý silný
snadný těžký
starý nový
studený horký
světlý tmavý
tmavý světlý
těžký snadný
uvnitř venku
velký malý
venku uvnitř
vyhrát prohrát
vysoký nízký
vzít dát
zavřený otevřený
začátek konec
špatný dobrý
