آسان سخت
باختن بردن
باز بسته
بالا پایین
بد خوب
بردن باختن
بزرگ کوچک
بسته باز
بعد قبل
بلند کوتاه
بله نه
تاریک روشن
جدید قدیم
خارج داخل
خریدن فروختن
خوب بد
داخل خارج
دادن گرفتن
درست غلط
دشمن دوست
دور نزدیک
دوست دشمن
دیر زود
راست چپ
روز شب
روشن تاریک
زندگی مرگ
زود دیر
زیاد کم
سخت آسان
سرد گرم
سریع کند
شب روز
شروع پایان
ضعیف قوی
غلط درست
فروختن خریدن
قبل بعد
قدیم جدید
قوی ضعیف
مرگ زندگی
نزدیک دور
نه بله
هرگز همیشه
همیشه هرگز
پایان شروع
پایین بالا
چپ راست
کم زیاد
کند سریع
کوتاه بلند
کوچک بزرگ
گرفتن دادن
گرم سرد
