# Words of like meaning, one group per line.
# Marathi (Devanagari). Graphemes from CLDR exemplarCharacters for mr.
सुरुवात आरंभ प्रारंभ चालू
दुकान बाजार खरेदी स्टोअर
लॉगिन प्रवेश साइनइन प्रवेशाधिकार
खाते प्रोफाइल सदस्य माझेखाते
वापरकर्ता युजर नाव ओळख
सुरक्षित संरक्षित विश्वासार्ह भरवशाचा
सुरक्षा संरक्षण बचाव कवच
पडताळणी खात्री तपासणी प्रमाणीकरण
पासवर्ड गुप्तशब्द पिन क्रेडेन्शियल
अधिकृतता प्रमाणीकरण टोकन सत्र
पुनर्प्राप्ती रीसेट परत अनलॉक
मदत साहाय्य सेवा आधार
संपर्क जोडणी चौकशी विनंती
भरणा पेमेंट चेकआउट पैसेभरा
देयक पावती बिल बिलिंग
बँक अर्थ पैसा पाकीट
कार्ड क्रेडिट डेबिट प्रीपेड
हस्तांतरण व्यवहार ठेव काढणे
क्रिप्टो नाणे ब्लॉकचेन मायनिंग
टपाल ईमेल संदेश इनबॉक्स
क्लाउड सर्व्हर होस्ट होस्टिंग
वेब साइट ऑनलाइन नेटवर्क पोर्टल
डोमेन दुवा पत्ता url
बातम्या ब्लॉग प्रेस माध्यम
मोफत भेट बोनस ऑफर
सवलत सूट सेल कूपन
बक्षीस जिंका पारितोषिक लॉटरी
सर्वोत्तम अव्वल प्रीमियम प्रो
अधिकृत खरा प्रामाणिक मूळ
नवीन नवीनतम ताजे आधुनिक
जलद वेगवान एक्स्प्रेस त्वरित
अॅप अनुप्रयोग सॉफ्टवेअर साधन
डाउनलोड मिळवा इन्स्टॉल सेटअप
अपडेट अपग्रेड नूतनीकरण पॅच
शोध शोधा तपास क्वेरी
वितरण शिपिंग पार्सल ट्रॅकिंग
ऑर्डर कार्ट टोपली खरेदी
ग्राहक क्लायंट सदस्य खरेदीदार
अॅडमिन व्यवस्थापन कन्सोल डॅशबोर्ड
केंद्र मुख्य सर्वसाधारण हब
गट संघ कंपनी महामंडळ
डेटा बॅकअप संग्रह साठवण
छायाचित्र प्रतिमा गॅलरी फोटो
व्हिडिओ स्ट्रीम पाहा प्ले
संगीत ऑडिओ ध्वनी रेडिओ
गेम खेळ खेळाडू आर्केड
गप्पा संवाद मेसेंजर थेट
सोशल समुदाय मित्र फॉलोअर
नोकरी काम करिअर भरती
आरोग्य वैद्यकीय दवाखाना औषधालय
प्रवास विमान हॉटेल बुकिंग
अन्न रेस्टॉरंट मेनू स्वयंपाकघर
शाळा शिका अभ्यासक्रम शिक्षण
कायदा कायदेशीर न्यायालय हक्क
सरकार राज्य मंत्रालय सार्वजनिक
कर महसूल सीमाशुल्क शुल्क
विमा पॉलिसी दावा संरक्षण
मालमत्ता भाडे घर जमीन
वाहन कार मोटर गाडी
ऊर्जा वीज शक्ती गॅस
मोबाइल फोन एसएमएस कॉल
सूचना इशारा अलर्ट तातडीचे
वर्गणी सदस्यत्व योजना नूतनीकरण
गुण निष्ठा कॅशबॅक मैल
समीक्षा रेटिंग अभिप्राय मत
