arm rijk
beginnen eindigen
binnen buiten
boven onder
buiten binnen
dag nacht
dichtbij ver
donker licht
eindigen beginnen
gesloten open
geven nemen
goed slecht
groot klein
haten liefhebben
heet koud
hoog laag
ja nee
klein groot
kopen verkopen
koud heet
laag hoog
laat vroeg
langzaam snel
leeg vol
licht donker
liefhebben haten
makkelijk moeilijk
moeilijk makkelijk
na voor
nacht dag
nee ja
nemen geven
nieuw oud
onder boven
onwaar waar
open gesloten
oud nieuw
rijk arm
slecht goed
snel langzaam
sterk zwak
ver dichtbij
verkopen kopen
verliezen winnen
vol leeg
voor na
vroeg laat
waar onwaar
winnen verliezen
zwak sterk
