# Words of like meaning, one group per line.
# Tamil script. Brand-adjacent lure words, most natural first. 65 groups.
தொடக்கம் ஆரம்பம் துவக்கம் தொடங்கு
கடை அங்காடி சந்தை ஸ்டோர்
உள்நுழைவு லாகின் அணுகல் புகுபதிகை
கணக்கு சுயவிவரம் உறுப்பினர் எனதுகணக்கு
பயனர் பயனாளர் அடையாளம் பயனர்பெயர்
பாதுகாப்பான நம்பகமான உறுதியான காக்கப்பட்ட
பாதுகாப்பு காவல் கவசம் அரண்
சரிபார்ப்பு உறுதிப்படுத்தல் மெய்ப்பிப்பு சரிபார்
கடவுச்சொல் ரகசியச்சொல் பின் அனுமதிச்சொல்
அங்கீகாரம் அனுமதி டோக்கன் அமர்வு
மீட்பு மீட்டமைப்பு புதுப்பிப்பு திறத்தல்
ஆதரவு உதவி சேவை துணை
தொடர்பு அணுகு விசாரணை கோரிக்கை
பணம்செலுத்து கட்டணம் இப்போதுசெலுத்து செலுத்துகை
விலைப்பட்டியல் ரசீது கட்டணப்பட்டியல் பில்
வங்கி நிதி பணம் பணப்பை
அட்டை கடன்அட்டை பற்றுஅட்டை முன்பணஅட்டை
பரிமாற்றம் பரிவர்த்தனை வைப்பு எடுப்பு
கிரிப்டோ நாணயம் பிளாக்செயின் சுரங்கம்
அஞ்சல் மின்னஞ்சல் செய்தி உள்பெட்டி
கிளவுட் சேவையகம் புரவலன் ஹோஸ்டிங்
வலை தளம் இணையம் வலைத்தளம்
களம் இணைப்பு முகவரி url
செய்திகள் வலைப்பதிவு ஊடகம் பத்திரிகை
இலவசம் பரிசுப்பொருள் போனஸ் சலுகை
தள்ளுபடி விற்பனை ஒப்பந்தம் கூப்பன்
பரிசு வெற்றி வெகுமதி லாட்டரி
சிறந்த முதன்மை பிரீமியம் புரோ
அதிகாரப்பூர்வ உண்மையான மூலம் ஆதாரபூர்வ
புதிய சமீபத்திய நவீன தற்போதைய
வேகமான விரைவான துரிதம் அதிவேக
செயலி பயன்பாடு மென்பொருள் கருவி
பதிவிறக்கம் பெறு நிறுவு அமைவு
புதுப்பித்தல் மேம்படுத்தல் இற்றைப்படுத்தல் திருத்தம்
தேடல் கண்டுபிடி தேடு வினவல்
விநியோகம் அனுப்புதல் பொட்டலம் கண்காணிப்பு
ஆர்டர் கூடை வண்டி வாங்குதல்
வாடிக்கையாளர் நுகர்வோர் சந்தாதாரர் வாங்குபவர்
நிர்வாகி மேலாண்மை பணியகம் டாஷ்போர்டு
மையம் தலைமை பொது ஹப்
குழு அணி நிறுவனம் கம்பெனி
தரவு காப்புப்பிரதி காப்பகம் சேமிப்பு
புகைப்படம் படம் தொகுப்பு காட்சி
வீடியோ ஒளிபரப்பு பார் இயக்கு
இசை ஒலி பாடல் வானொலி
விளையாட்டு ஆட்டம் வீரர் அர்கேட்
அரட்டை உரையாடல் தூது நேரலை
சமூக சமுதாயம் நண்பர்கள் பின்தொடர்பவர்
வேலை பணி தொழில் ஆட்சேர்ப்பு
சுகாதாரம் மருத்துவம் மருத்துவமனை மருந்தகம்
பயணம் விமானம் விடுதி முன்பதிவு
உணவு உணவகம் பட்டியல் சமையல்
பள்ளி கற்றல் பாடநெறி படிப்பு
சட்டம் நீதிமன்றம் உரிமை வழக்கு
அரசு மாநிலம் அமைச்சகம் பொதுத்துறை
வரி வருவாய் சுங்கம் தீர்வை
காப்பீடு கொள்கை உரிமைகோரல் பாதுகாப்புத்திட்டம்
சொத்து வாடகை வீடு நிலம்
வாகனம் கார் மோட்டார் ஊர்தி
ஆற்றல் மின்சாரம் சக்தி எரிவாயு
கைபேசி தொலைபேசி குறுஞ்செய்தி அழைப்பு
எச்சரிக்கை அறிவிப்பு அவசரம் விழிப்பூட்டல்
சந்தா உறுப்பினர்தன்மை திட்டம் புதுப்பித்தல்நாள்
புள்ளிகள் விசுவாசம் பணத்திரும்பல் மைல்கள்
மதிப்பாய்வு மதிப்பீடு கருத்து பின்னூட்டம்
