# Words of like meaning, one group per line.
incepe lanseaza porneste start
magazin shop piata cumparaturi
autentificare conectare login intra
cont profil membru contulmeu
utilizator nume identitate id
securizat sigur protejat fiabil
securitate protectie paza scut
verifica confirma valideaza controleaza
parola cod pin credentiale
autorizare auth token sesiune
recupereaza reseteaza restaureaza deblocheaza
suport ajutor serviciu asistenta
contact contacteaza conecteaza intrebare
plata plateste achita checkout
facturare factura chitanta nota
banca finante bani portofel
card credit debit preplatit
transfer tranzactie depunere retragere
cripto moneda blockchain minare
posta email mesaj inbox
cloud server gazduire hosting
web site online retea portal
domeniu link adresa url
stiri blog presa media
gratuit cadou bonus promotie
reducere oferta vanzare cupon
premiu castig recompensa loterie
top premium pro superior
oficial autentic veritabil original
nou ultimul recent modern
rapid iute expres prompt
aplicatie program software instrument
descarca obtine instaleaza configurare
actualizare upgrade reinnoire patch
cauta gaseste cautare interogare
livrare expediere colet urmarire
comanda cos achizitie finalizare
client cumparator abonat consumator
admin administrare consola panou
centru hub principal global
grup echipa companie corporatie
date backup arhiva stocare
foto imagine galerie poza
video stream vizioneaza reda
muzica audio sunet radio
joc jocuri jucator arcada
chat discutie messenger live
social comunitate prieteni urmaritori
job munca cariera angajare
sanatate medical clinica farmacie
calatorie zbor hotel rezervare
mancare restaurant meniu bucatarie
scoala invata curs studiu
lege juridic instanta drepturi
guvern stat minister public
taxa impozit vama accize
asigurare polita dauna acoperire
proprietate chirie casa imobiliare
auto masina motor vehicul
energie putere electric gaz
mobil telefon sms apel
alerta avertisment notificare urgent
abonament abonare plan tarif
puncte fidelitate cashback mile
recenzie evaluare feedback opinie
