άδειο γεμάτο
έξω μέσα
αγαπώ μισώ
αγοράζω πουλάω
αδύναμος δυνατός
αλήθεια ψέμα
ανοιχτό κλειστό
αργά νωρίς
αργό γρήγορο
αρχή τέλος
γεμάτο άδειο
γρήγορο αργό
δίνω παίρνω
δυνατός αδύναμος
δύσκολο εύκολο
εύκολο δύσκολο
ζεστό κρύο
ζωή θάνατος
θάνατος ζωή
κάτω πάνω
κακό καλό
καλό κακό
κερδίζω χάνω
κλειστό ανοιχτό
κοντά μακριά
κρύο ζεστό
μέρα νύχτα
μέσα έξω
μακριά κοντά
μεγάλο μικρό
μετά πριν
μικρό μεγάλο
μισώ αγαπώ
νέο παλιό
ναι όχι οχι
νωρίς αργά
νύχτα μέρα
οχι ναι
πάνω κάτω
παίρνω δίνω
παλιό νέο
πλούσιος φτωχός
πουλάω αγοράζω
πριν μετά
σκοτεινό φωτεινό
τέλος αρχή
φτωχός πλούσιος
φωτεινό σκοτεινό
χάνω κερδίζω
χαμηλό ψηλό
ψέμα αλήθεια
ψηλό χαμηλό
όχι ναι
