багатий бідний
близько далеко
брехня правда
бідний багатий
важкий легкий
вгорі внизу
великий малий
взяти дати
виграти програти
високий низький
внизу вгорі
всередині зовні
відкритий закритий
гарячий холодний
далеко близько
дати взяти
день ніч
до після
добре погано
життя смерть
закритий відкритий
зовні всередині
купити продати
кінець початок
легкий важкий
любити ненавидіти
малий великий
ненавидіти любити
низький високий
новий старий
ні так
ніч день
повний порожній
повільний швидкий
погано добре
порожній повний
початок кінець
правда брехня
програти виграти
продати купити
пізно рано
після до
рано пізно
світлий темний
сильний слабкий
слабкий сильний
смерть життя
старий новий
так ні
темний світлий
холодний гарячий
швидкий повільний
